# Filtered for technologies not requiring intermittent backup and extrapolated using an exponential function
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,refined liquids,refined liquids (CC CCS),2045,refined liquids industrial,0.578
electricity,refined liquids,refined liquids (CC CCS),2050,refined liquids industrial,0.592
electricity,refined liquids,refined liquids (CC CCS),2055,refined liquids industrial,0.604
electricity,refined liquids,refined liquids (CC CCS),2060,refined liquids industrial,0.615
electricity,refined liquids,refined liquids (CC CCS),2065,refined liquids industrial,0.624
electricity,refined liquids,refined liquids (CC CCS),2070,refined liquids industrial,0.632
electricity,refined liquids,refined liquids (CC CCS),2075,refined liquids industrial,0.639
electricity,refined liquids,refined liquids (CC CCS),2080,refined liquids industrial,0.646
electricity,refined liquids,refined liquids (CC CCS),2085,refined liquids industrial,0.652
electricity,refined liquids,refined liquids (CC CCS),2090,refined liquids industrial,0.657
electricity,refined liquids,refined liquids (CC CCS),2095,refined liquids industrial,0.662
electricity,refined liquids,refined liquids (CC CCS),2100,refined liquids industrial,0.666
